ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_Xcoord,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,58.526315789473685,711.4736842105264,0,1
1,2,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,73.08771929824562,712.0175438596491,0,2
1,3,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,171.04109589041096,728.3835616438356,0,3
1,4,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,15.931818181818182,731.5340909090909,0,4
1,5,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,4.0137931034482754,733.5931034482759,0,5
1,6,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,123.04705882352941,737.4705882352941,0,6
1,7,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,525.9230769230769,737.2884615384615,0,7
1,8,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,553.1369863013699,738.2191780821918,0,8
1,9,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,16.412429378531073,741.3559322033898,0,9
1,10,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,51.355932203389834,742.9661016949152,0,10
1,11,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,204.40425531914894,742.8617021276596,0,11
1,12,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,218.85616438356163,745.2534246575342,0,12
1,13,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,233.22222222222223,743.1444444444444,0,13
1,14,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,255.1917808219178,742.0958904109589,0,14
1,15,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,68.39301310043668,744.8078602620087,0,15
1,16,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,265.6969696969697,744.3181818181819,0,16
1,17,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,367.31021897810217,745.6715328467153,0,17
1,18,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,4.878504672897196,749.2897196261682,0,18
1,19,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,353.3452380952381,748.4166666666666,0,19
1,20,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,575.9527559055118,748.2992125984252,0,20
1,21,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,15.663934426229508,752.2704918032787,0,21
1,22,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,342.57894736842104,753.4412955465586,0,22
1,23,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,391.14525139664806,750.5530726256983,0,23
1,24,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,538.8846153846154,750.5961538461538,0,24
1,25,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,43.12230215827338,755.2589928057554,0,25
1,26,nan,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD34/LRP/summary/AE4.T02-5712.CD34.X0.Y14000.normalized.tile.tissue.png,0,AE4,CD34,0,T02-5712,X0,Y14000,299.25581395348837,756.4651162790698,0,26
